,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Finland carbon tax,0.10%,0.10%,0.10%,0.10%,0.11%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.11%,0.11%,0.11%,0.09%,0.10%,0.09%,0.09%,0.08%,0.09%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.07%, 
Poland carbon tax,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%, 
Norway carbon tax, ,0.10%,0.10%,0.11%,0.11%,0.11%,0.11%,0.12%,0.12%,0.12%,0.11%,0.11%,0.11%,0.11%,0.11%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.09%,0.09%,0.08%,0.08%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%, 
Sweden carbon tax, ,0.11%,0.12%,0.12%,0.12%,0.12%,0.12%,0.12%,0.12%,0.11%,0.11%,0.11%,0.11%,0.11%,0.10%,0.10%,0.10%,0.10%,0.09%,0.09%,0.10%,0.09%,0.09%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%, 
Denmark carbon tax, , ,0.09%,0.09%,0.09%,0.09%,0.10%,0.09%,0.09%,0.08%,0.08%,0.08%,0.08%,0.08%,0.07%,0.07%,0.07%,0.07%,0.06%,0.06%,0.06%,0.06%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.04%, 
Slovenia carbon tax, , , , , , ,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.02%, 
Estonia carbon tax, , , , , , , , , , ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%, 
Latvia carbon tax, , , , , , , , , , , , , , ,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%, 
EU ETS, , , , , , , , , , , , , , , ,4.91%,4.79%,4.63%,4.51%,4.26%,4.22%,3.98%,3.91%,4.26%,4.06%,4.11%,4.11%,4.11%,4.11%,4.11%,4.11%,3.14%, 
Alberta TIER, , , , , , , , , , , , , , , , , ,0.25%,0.24%,0.23%,0.23%,0.23%,0.24%,0.24%,0.25%,0.24%,0.24%,0.24%,0.24%,0.24%,0.24%,0.28%, 
Switzerland ETS, , , , , , , , , , , , , , , , , , ,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%, 
New Zealand ETS, , , , , , , , , , , , , , , , , , ,0.09%,0.09%,0.09%,0.08%,0.09%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%, 
Switzerland carbon tax, , , , , , , , , , , , , , , , , , ,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%, 
Liechtenstein carbon tax, , , , , , , , , , , , , , , , , , ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%, 
BC carbon tax, , , , , , , , , , , , , , , , , , ,0.09%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.09%, 
RGGI, , , , , , , , , , , , , , , , , , , ,0.23%,0.23%,0.21%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.30%, 
Iceland carbon tax, , , , , , , , , , , , , , , , , , , , ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%, 
Tokyo CaT, , , , , , , , , , , , , , , , , , , , ,0.03%,0.03%,0.03%,0.03%,0.03%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%, 
Ireland carbon tax, , , , , , , , , , , , , , , , , , , , ,0.04%,0.04%,0.04%,0.04%,0.03%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%, 
Ukraine carbon tax, , , , , , , , , , , , , , , , , , , , , ,0.60%,0.57%,0.55%,0.49%,0.41%,0.41%,0.41%,0.41%,0.41%,0.41%,0.41%, 
Saitama ETS, , , , , , , , , , , , , , , , , , , , , ,0.01%,0.02%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%, 
California CaT, , , , , , , , , , , , , , , , , , , , , , ,0.30%,0.23%,0.23%,0.69%,0.69%,0.69%,0.69%,0.69%,0.69%,0.65%, 
Japan carbon tax, , , , , , , , , , , , , , , , , , , , , , ,1.76%,1.77%,1.70%,1.64%,1.64%,1.64%,1.64%,1.64%,1.64%,1.82%, 
Quebec CaT, , , , , , , , , , , , , , , , , , , , , , , ,0.05%,0.04%,0.12%,0.12%,0.12%,0.12%,0.12%,0.12%,0.11%, 
Kazakhstan ETS, , , , , , , , , , , , , , , , , , , , , , , ,0.36%,0.34%,0.34%,0.34%,0.34%,0.34%,0.34%,0.34%,0.29%, 
